"customer.customerid","customer.dominant_gender","customer.dominant_size","customer.last_purchase_date"
"10001146","Homme","42","2015-11-01 20:09:07.0"
"10003780","Femme","38","2015-11-01 14:40:11.0"
"10008162","Femme","40","2015-11-01 15:50:09.0"
"10013372","Femme","38","2015-11-01 22:12:01.0"
"10014532","Femme","40","2015-11-01 16:28:19.0"
"10018678","Femme","36","2015-11-01 21:02:04.0"
"10023443","Femme","38","2015-11-01 21:18:18.0"
"10029665","Femme","38","2015-11-01 15:09:18.0"
"10036580","Femme","44 1/2","2015-11-01 14:02:03.0"
"10036743","Femme","36","2015-11-01 19:34:07.0"
"10039552","Femme","39","2015-11-01 15:23:10.0"
"10040205","Femme","40","2015-11-01 10:13:17.0"
"10043948","Femme","38","2015-11-01 11:14:11.0"
"10049876","Femme","36","2015-11-01 20:56:14.0"
"10050896","Femme","39","2015-11-01 08:19:05.0"
"10060979","Femme","37 1/3","2015-11-01 10:50:01.0"
"10068485","Enfant","37","2015-11-01 20:48:03.0"
"10069813","Femme","40","2015-11-01 17:50:08.0"
"10076078","Femme","39 1/2","2015-11-01 12:08:07.0"
"10076566","Femme","38","2015-11-01 15:19:04.0"
"10078848","Femme","39","2015-11-01 19:27:00.0"
"10079806","Femme","40","2015-11-01 13:52:00.0"
"10080892","Femme","41","2015-11-01 16:18:08.0"
"10092155","Homme","43 1/2","2015-11-01 11:33:10.0"
"10101107","Homme","43","2015-11-01 15:34:04.0"
"10106250","Femme","39","2015-11-01 07:24:03.0"
"10107400","Homme","43","2015-11-01 22:13:17.0"
"10129413","Femme","41","2015-11-01 18:58:13.0"
"10134259","Enfant","32","2015-11-01 14:03:00.0"
"10137627","Femme","42","2015-11-01 19:01:02.0"
"10142960","Femme","42","2015-11-01 12:23:17.0"
"10143043","Femme","38","2015-11-01 23:07:06.0"
"10143118","Enfant","34","2015-11-01 10:13:11.0"
"10155009","Sacs","T.U","2015-11-01 22:26:05.0"
"10156560","Femme","39 1/2","2015-11-01 21:47:19.0"
"10159581","Femme","37","2015-11-01 18:01:19.0"
"10162752","Femme","36","2015-11-01 18:29:02.0"
"10169621","Femme","37","2015-11-01 11:34:17.0"
"10176039","Homme","44","2015-11-01 11:32:03.0"
"10182627","Femme","38 2/3","2015-11-01 10:46:08.0"
"10184219","Femme","38","2015-11-01 20:30:09.0"
"10186179","Femme","40","2015-11-01 11:42:12.0"
"10186754","Homme","43","2015-11-01 16:52:00.0"
"10187638","Femme","39","2015-11-01 10:33:02.0"
