"product.productid","product.total_amount","product.total_quantity","product.total_customer"
"","271.41998291","4","4"
"186","359.0","4","4"
"220","42.0","1","1"
"346","99.0","1","1"
"464","93.75","1","1"
"797","787.5","6","6"
"1976","135.0","1","1"
"1978","124.989997864","1","1"
"2612","30.0","2","2"
"2613","14.0","2","2"
"2867","151.619995117","2","2"
"3350","2537.0","28","26"
"3937","216.25","3","3"
"4046","109.0","1","1"
"4076","18.75","1","1"
"4313","664.979980469","10","10"
"4316","60.0","1","1"
"4330","336.460021973","9","9"
"5259","742.739990234","13","12"
"5329","289.989990234","3","3"
"5331","41.25","1","1"
"5943","270.0","3","3"
"6748","26.25","1","1"
"6763","1244.0","2","2"
"6764","75.0","1","1"
"6766","183.220001221","4","2"
"7103","405.649993896","15","14"
"7706","253.920013428","8","6"
"7746","67.1200027466","1","1"
"7755","234.589996338","3","3"
"7869","144.5","1","1"
"8174","87.6800003052","1","1"
"8344","135.0","1","1"
"8652","2424.23999023","9","9"
"8691","28.5","1","1"
"8709","268.470001221","4","4"
"8741","696.489990234","3","3"
"8744","3879.20996094","29","26"
"8747","1389.0","2","2"
"8773","235.0","2","2"
"8797","259.820007324","4","4"
"8937","460.0","3","3"
"9025","45.0","1","1"
"9042","541.659973145","1","1"
"9073","190.75","2","2"
"9222","460.0","60","56"
"9223","28.0","4","4"
"9224","19.5","3","3"
"9225","32.0","4","4"
"9226","77.0","5","5"
"9227","45.0","3","3"
"9230","32.5","5","5"
"9231","40.0","10","10"
"9234","70.0","1","1"
"9235","6.0","1","1"
"9236","15.0","2","2"
"9237","104.0","16","16"
"9241","17.0","2","2"
"9243","30.5","7","7"
"9244","40.0","1","1"
"9488","120.0","1","1"
"9495","1866.35998535","4","4"
"9496","244.819992065","2","2"
"9588","12158.4804688","44","43"
"9608","2253.12988281","27","26"
"9633","1483.65002441","13","13"
"9651","97.5","1","1"
"9687","306.25","6","6"
"9688","56.25","1","1"
"9712","277.5","2","2"
"9770","110.5","4","4"
"9954","78.75","1","1"
"10114","113.900001526","1","1"
"10121","48.2999992371","1","1"
"10124","69.0","1","1"
"10147","42.75","1","1"
"10180","907.400024414","15","14"
"10185","1614.59997559","19","17"
"10192","51.7999992371","2","2"
"10230","137.809997559","2","2"
"10350","120.0","1","1"
"10404","50.0","1","1"
"10474","48.0","8","8"
"10740","30.0","1","1"
"10744","1943.0","6","5"
"10909","29.8999996185","1","1"
"11028","201.0","5","5"
"11031","299.989990234","5","5"
"11061","943.0","3","3"
"11064","67.5","1","1"
"11068","49.0","1","1"
"11071","75.0","1","1"
"11158","140.0","1","1"
"11235","659.739990234","11","10"
"11236","207.929992676","7","7"
"11287","65.0","1","1"
"11288","56.25","1","1"
"11340","182.0","3","3"
"11429","6.5","1","1"
"11431","57.0","8","8"
"11433","6.0","1","1"
"12176","219.899993896","2","2"
"12192","455.0","4","4"
"12193","1542.0","3","3"
"12216","50.0","1","1"
"12336","105.619995117","2","2"
"12696","1769.4699707","15","13"
"12701","66.75","1","1"
"12967","60.0","1","1"
"12983","122.489997864","2","2"
"13109","135.0","1","1"
"14905","127.5","2","2"
"15079","138.0","2","1"
"15375","56.25","1","1"
"15868","844.5","1","1"
"15915","1961.47998047","8","7"
"16004","89.25","1","1"
"16493","104.88999939","3","3"
"16611","209.800003052","2","2"
"16849","164.660003662","6","6"
"16988","43.4199981689","1","1"
"17163","137.75","5","4"
"17211","198.619995117","2","2"
"17267","144.199996948","3","3"
"17331","301.0","8","6"
"17479","42.9900016785","1","1"
"17603","19.8999996185","1","1"
"17604","51.4000015259","2","2"
"17732","609.0","2","2"
"17734","194.399993896","1","1"
"18081","181.25","3","3"
"18261","2671.48999023","13","13"
"18265","97.5","1","1"
"18268","6777.20996094","28","26"
"18353","13.0","1","1"
"18355","105.0","9","9"
"18508","32.25","1","1"
"18512","66.5","2","2"
"18560","57.0","1","1"
"18810","89.9000015259","1","1"
"18812","75.0","1","1"
"18993","25.0","1","1"
"19017","1077.40002441","8","7"
"19082","48.75","1","1"
"19267","96.75","1","1"
"19362","96.75","1","1"
"19397","22.5","1","1"
"19417","142.5","1","1"
"19420","6284.14990234","27","25"
"19427","1029.98999023","11","10"
"19497","520.0","3","3"
"19670","165.0","1","1"
"19681","56.25","1","1"
"19692","101.239997864","1","1"
"19848","79.9899978638","1","1"
"20009","912.0","2","2"
"20014","23.3999996185","1","1"
"20138","69.3000030518","1","1"
"20150","96.75","1","1"
"20247","108.0","1","1"
"20497","21.0","1","1"
"20498","36.75","2","2"
"20499","120.75","2","2"
"20551","75.0","1","1"
"20674","59.25","1","1"
"20681","55.0","1","1"
"20932","77.0","1","1"
"20937","69.9899978638","1","1"
"20941","70.0","1","1"
"20974","65.0","1","1"
"21049","80.0","1","1"
"21165","99.9000015259","1","1"
"21353","128.0","1","1"
"21599","55.0","1","1"
"21724","738.5","5","5"
"21759","90.0","1","1"
"21836","36.0","1","1"
"21858","144.5","3","3"
"21952","101.25","1","1"
"21955","130.0","2","2"
"22036","120.0","2","2"
"22048","88.9899978638","1","1"
"22068","40.0","1","1"
"22218","30.0","1","1"
"22219","56.5499992371","2","1"
"22233","148.75","2","2"
"22368","953.739990234","14","13"
"22369","1424.97998047","18","18"
"22371","75.0","1","1"
"22372","575.989990234","8","6"
"22522","20.0","1","1"
"22523","17.5","1","1"
"22551","152.979995728","1","1"
"22745","371.25","1","1"
"22791","141.75","1","1"
"23047","130.0","1","1"
"23060","135.0","1","1"
"23340","40.0","1","1"
"23730","790.200012207","6","6"
"24029","199.450012207","5","5"
"24038","339.459991455","6","4"
"24153","89.0","1","1"
"24223","79.0","1","1"
"24305","104.5","2","2"
"24315","195.0","4","4"
"24385","1608.92004395","4","4"
"24406","146.25","1","1"
"24438","120.0","1","1"
"24544","261.700012207","1","1"
"24614","130.0","2","2"
"24616","59.0","1","1"
"24656","56.25","1","1"
"25134","93.75","1","1"
"25229","109.0","1","1"
"25245","126.75","1","1"
"25255","74.0","1","1"
"25381","145.5","1","1"
"25385","776.099975586","5","4"
"25551","111.199996948","1","1"
"25701","131.5","2","2"
"25702","82.5","1","1"
"25881","216.0","1","1"
"26101","247.0","3","2"
"26260","37.5","1","1"
"26314","170.0","2","2"
"26450","209.970001221","3","3"
"26454","226.25","3","2"
"26555","251.25","1","1"
"26581","1082.98999023","6","6"
"26600","116.25","1","1"
"26801","495.0","1","1"
"26922","159.5","3","3"
"26938","420.25","3","2"
"26940","139.0","1","1"
"26942","90.1299972534","1","1"
"26944","90.0","1","1"
"26945","404.25","1","1"
"27013","1054.89001465","9","9"
"27022","182.5","2","2"
"27063","187.5","1","1"
"27170","410.029998779","4","4"
"27176","45.0","1","1"
"27199","206.25","1","1"
"27297","96.5999984741","2","2"
"27313","64.9000015259","1","1"
"27314","50.0","1","1"
"27405","123.75","1","1"
"27463","125.990005493","2","2"
"27743","115.0","1","1"
"27882","46.0","1","1"
"27895","39.0","1","1"
"27896","36.0","1","1"
"27903","1600.0","9","9"
"27923","80.0","1","1"
"27930","332.5","2","2"
"28168","66.75","1","1"
"28246","69.9000015259","1","1"
"28392","1258.0","3","2"
"28501","140.0","1","1"
"28537","82.5","1","1"
"28637","279.799987793","2","2"
"28638","295.25","4","4"
"28734","173.649993896","2","2"
"28768","472.339996338","5","4"
"28770","124.970001221","3","3"
"28814","60.0","1","1"
"28870","96.75","1","1"
"28887","93.0","1","1"
"28896","283.25","5","4"
"28899","55.0","1","1"
"28907","630.0","12","10"
"28927","48.75","1","1"
"28960","210.0","2","2"
"28967","99.0","1","1"
"29083","56.25","1","1"
"29220","676.859985352","7","7"
"29401","79.0","1","1"
"29402","347.100006104","4","4"
"29417","449.25","3","3"
"29522","30.4500007629","1","1"
"29678","189.979995728","2","2"
"29772","120.0","1","1"
"29824","55.0","1","1"
"29868","84.5","2","2"
"29940","85.0","1","1"
"30048","50.0","1","1"
"30269","240.0","1","1"
"30395","90.0","1","1"
"30596","37.5","1","1"
"30700","556.0","1","1"
"30914","29.0","1","1"
"30979","640.0","1","1"
"31011","292.5","3","3"
"31283","64.9000015259","1","1"
"31338","80.5","1","1"
"31512","55.0","1","1"
"31626","18.5","1","1"
"32233","10.0","1","1"
"32234","8.5","1","1"
"32235","132.0","3","3"
"32236","101.5","12","12"
"32459","57.9000015259","1","1"
"32703","67.6500015259","1","1"
"32722","149.979995728","2","2"
"32753","69.9000015259","1","1"
"32831","271.0","1","1"
"33018","181.5","2","2"
"33027","75.0","1","1"
"33063","46.0","1","1"
"33289","59.9900016785","1","1"
"33350","115.0","1","1"
"33420","75.0","1","1"
"33435","71.25","1","1"
"33558","48.0","2","2"
"33962","425.0","3","3"
"34667","598.5","4","4"
"34800","36.75","1","1"
"34940","37.5","1","1"
"34941","75.0","1","1"
"35120","19.9899997711","1","1"
"35121","13.1199998856","1","1"
"35124","17.5","1","1"
"35157","62.5","1","1"
"35211","63.75","1","1"
"35243","120.0","1","1"
"35256","108.0","1","1"
"35275","108.0","1","1"
"35532","22.4899997711","1","1"
"35551","877.039978027","4","4"
"35552","224.25","1","1"
"35803","65.0","1","1"
"35822","29.5","1","1"
"35842","37.5999984741","1","1"
"35914","17.8999996185","1","1"
"35994","97.0","1","1"
"36319","80.0","1","1"
"36321","94.9000015259","1","1"
"36365","120.0","1","1"
"36405","44.25","1","1"
"36487","1256.5","5","5"
"36551","89.0","1","1"
"36644","8.0","1","1"
"36694","94.4000015259","2","2"
"36909","99.0","1","1"
"37343","137.5","1","1"
"37446","60.0","1","1"
"37469","32.0","1","1"
"37481","96.0","3","3"
"37484","69.0","1","1"
"37776","50.6199989319","1","1"
"37836","120.0","1","1"
"37860","138.0","2","2"
"37863","1186.0","7","6"
"37870","118.5","2","2"
"37917","56.0","1","1"
"37981","39.2000007629","1","1"
"37995","120.0","1","1"
"38226","51.9800033569","2","2"
"38344","126.75","1","1"
"38375","229.0","1","1"
"38472","65.0","1","1"
"38601","277.989990234","4","4"
"38672","139.990005493","1","1"
"38673","28.5300006866","1","1"
"38680","411.970001221","4","4"
"38684","111.470001221","3","3"
"39047","144.0","1","1"
"39169","120.0","1","1"
"39177","83.25","1","1"
"39269","265.5","1","1"
"39377","89.0999984741","1","1"
"39383","99.0","1","1"
"39388","86.25","1","1"
"39394","105.0","1","1"
"39395","86.25","1","1"
"39401","649.91998291","4","4"
"39494","239.910003662","2","2"
"39495","119.919998169","1","1"
"39499","119.919998169","1","1"
"39504","120.240005493","2","2"
"39509","189.979995728","2","2"
"39510","409.839996338","7","5"
"39789","120.0","1","1"
"39836","74.5","1","1"
"39841","199.0","1","1"
"39845","96.75","1","1"
"39859","149.0","1","1"
"39918","76.9900054932","2","2"
"40108","80.5","1","1"
"40113","245.0","2","2"
"40119","125.0","2","2"
"40122","516.5","13","12"
"40132","241.5","2","2"
"40136","60.0","1","1"
"40198","62.5600013733","2","1"
"40231","1918.56005859","7","7"
"40236","899.880004883","8","8"
"40415","112.5","2","2"
"40451","209.820007324","2","2"
"40453","89.9199981689","1","1"
"40597","191.899993896","1","1"
"40671","74.9199981689","1","1"
"40677","99.5","1","1"
"40784","90.0","1","1"
"40817","3089.48999023","8","7"
"40843","543.75","2","2"
"41433","97.0","1","1"
"41469","1652.0","2","2"
"41479","330.0","2","2"
"41579","32.4000015259","1","1"
"41615","131.990005493","3","3"
"41829","290.25","3","3"
"41835","180.0","2","2"
"41848","97.1200027466","1","1"
"42298","385.0","1","1"
"42502","99.9000015259","1","1"
"42645","65.0","1","1"
"42876","127.5","2","2"
"42982","29.9899997711","1","1"
"43083","76.0","1","1"
"43086","134.979995728","2","2"
"43195","2721.38012695","21","18"
"43196","75.0","1","1"
"43198","120.0","2","2"
"43233","149.0","1","1"
"43597","160.0","1","1"
"43665","184.0","2","2"
"43800","131.25","1","1"
"43826","27.0","1","1"
"43831","869.299987793","5","4"
"43890","156.0","3","3"
"43959","110.0","1","1"
"43990","55.0","1","1"
"43991","105.0","1","1"
"44034","717.5","4","4"
"44163","52.5","1","1"
"44215","89.9899978638","1","1"
"44270","128.25","1","1"
"44349","174.979995728","2","2"
"44366","89.0","1","1"
"44561","235.480010986","2","2"
"44564","59.9900016785","1","1"
"44605","555.0","2","2"
"44627","29.25","1","1"
"44790","1000.0","5","4"
"44797","2160.0","2","2"
"44853","93.3199996948","1","1"
"44856","363.799987793","1","1"
"44923","164.11000061","7","6"
"44981","110.0","1","1"
"45122","225.75","2","2"
"45217","89.0","1","1"
"45244","105.0","1","1"
"45360","169.899993896","2","2"
"45557","90.0","2","1"
"45598","239.899993896","1","1"
"45682","949.889953613","11","11"
"45818","131.25","1","1"
"45984","412.41998291","3","3"
"46030","111.75","1","1"
"46159","209.979995728","2","2"
"46166","564.989990234","2","2"
"46175","965.489990234","9","8"
"46177","289.970001221","3","3"
"46188","89.9899978638","1","1"
"46388","132.0","2","2"
"46398","99.0","1","1"
"46443","49.0","1","1"
"46460","220.5","5","5"
"46467","75.0","2","2"
"46468","41.25","1","1"
"46517","79.0","1","1"
"46550","159.919998169","1","1"
"46655","89.25","1","1"
"46672","20.0","1","1"
"46777","135.0","1","1"
"46896","58.5","1","1"
"46904","300.920013428","5","4"
"46908","69.9899978638","1","1"
"46934","119.0","1","1"
"47031","450.0","1","1"
"47042","33.0","1","1"
"47183","898.510009766","10","10"
"47202","627.5","7","6"
"47218","139.0","1","1"
"47220","204.899993896","1","1"
"47472","73.5999984741","1","1"
"47487","109.0","1","1"
"47635","48.75","1","1"
"47708","34.9000015259","1","1"
"47719","40.9899978638","2","2"
"47738","1358.81994629","4","4"
"47753","14.9899997711","1","1"
"47801","51.0","1","1"
"47802","60.0","1","1"
"47827","183.0","1","1"
"47878","70.0","1","1"
"47880","388.75","6","5"
"47974","90.0","1","1"
"48071","86.25","1","1"
"48075","81.75","1","1"
"48767","89.9000015259","1","1"
"48805","43.2000007629","1","1"
"48919","192.5","2","2"
"49073","596.25","2","2"
"49419","370.5","4","4"
"49422","75.0","1","1"
"49478","179.919998169","2","1"
"49514","129.899993896","2","2"
"49632","280.0","1","1"
"49768","1082.07006836","5","3"
"49771","258.720001221","4","3"
"50079","66.0","1","1"
"50083","96.0","1","1"
"50099","93.75","1","1"
"50389","107.779998779","1","1"
"50431","58.2000007629","2","2"
"50434","85.0","1","1"
"50437","59.9199981689","1","1"
"50513","1035.0","3","3"
"50517","93.75","1","1"
"50522","134.990005493","1","1"
"51275","475.5","2","2"
"51414","208.5","2","2"
"51528","160.0","1","1"
"51596","201.75","1","1"
"51667","89.25","1","1"
"52164","96.5","1","1"
"52180","109.0","1","1"
"52790","45.0","1","1"
"52801","31.5","1","1"
"52867","47.5","1","1"
"52942","28.7000007629","1","1"
"52954","232.5","1","1"
"53065","32.0","1","1"
"53140","3211.37011719","18","18"
"53224","221.5","1","1"
"53342","51.75","1","1"
"53357","29.8999996185","1","1"
"53482","101.400001526","1","1"
"53540","181.5","2","2"
"53604","51.75","1","1"
"53606","41.25","1","1"
"53870","270.0","3","3"
"53953","35.4000015259","1","1"
"53954","41.3400001526","1","1"
"54012","59.6999969482","3","3"
"54029","18.75","1","1"
